user_id,user_name,gender,age,province,city,member_level,register_date
U000001,高明轩1,女,33,四川省,德阳,铂金,2025-09-26
U000002,胡佳怡2,女,33,浙江省,温州,普通,2023-11-30
U000003,徐思源3,女,44,山东省,青岛,普通,2023-08-16
U000004,李佳怡4,女,18,湖北省,武汉,铂金,2023-06-14
U000005,徐雨桐5,女,29,河南省,许昌,黄金,2024-02-20
U000006,朱俊杰6,女,30,陕西省,咸阳,普通,2023-02-08
U000007,赵浩然7,男,39,广东省,深圳,普通,2025-06-12
U000008,吴梓萱8,男,33,湖南省,长沙,普通,2024-12-10
U000009,吴佳怡9,女,40,河南省,郑州,铂金,2024-07-06
U000010,刘欣然10,女,26,上海市,上海,普通,2024-12-02
U000011,陈诗涵11,男,34,浙江省,杭州,白银,2026-03-27
U000012,孙子涵12,女,37,江苏省,南通,普通,2025-02-04
U000013,胡浩然13,女,47,江苏省,苏州,白银,2025-09-01
U000014,徐梓萱14,男,51,浙江省,嘉兴,白银,2024-01-01
U000015,朱梓萱15,女,35,河北省,保定,普通,2025-06-27
U000016,吴浩然16,男,32,上海市,上海,普通,2026-06-14
U000017,胡俊杰17,女,40,广东省,佛山,白银,2024-12-08
U000018,孙佳怡18,男,41,山东省,临沂,白银,2025-12-12
U000019,周一诺19,男,33,陕西省,西安,白银,2024-08-21
U000020,胡俊杰20,女,19,浙江省,绍兴,黄金,2026-06-06
U000021,黄俊杰21,男,36,北京市,北京,普通,2026-01-28
U000022,徐嘉诚22,女,43,湖北省,襄阳,铂金,2023-12-28
U000023,徐浩然23,男,31,浙江省,杭州,普通,2023-04-15
U000024,张嘉诚24,男,45,四川省,德阳,白银,2023-09-30
U000025,刘梓萱25,女,37,上海市,上海,铂金,2023-08-30
U000026,赵子涵26,男,24,北京市,北京,普通,2025-05-30
U000027,刘子涵27,女,31,重庆市,重庆,白银,2024-06-18
U000028,刘浩然28,男,26,河北省,唐山,普通,2025-02-16
U000029,杨一诺29,男,27,湖南省,长沙,普通,2026-05-29
U000030,李俊杰30,男,39,河北省,廊坊,白银,2023-12-02
U000031,张雨桐31,女,30,北京市,北京,黄金,2025-02-24
U000032,陈嘉诚32,男,34,江苏省,南通,白银,2023-11-23
U000033,杨欣然33,男,29,湖北省,武汉,普通,2023-06-06
